Id,Label,timeset,pageranks,modularity_class
0,@elonmusk,,0.028263,1
1,@AndrewYNg,,0.032675,0
2,@AlCocan,,0.000437,0
3,@ajtourville,,0.000437,0
4,@bendiken,,0.000437,1
5,@SpaceX,,0.03574,1
6,@Octopus11271,,0.000423,1
7,@nectarsuarez,,0.000423,1
8,@milind_kawli,,0.000423,1
9,@yamassi_1107,,0.000423,1
10,@champagne_casey,,0.000423,1
11,@IrinaAntony,,0.000423,1
12,@60OJmt,,0.000423,1
13,@pratik_wase,,0.000423,1
14,@teslaandspaceX,,0.000423,1
15,@AaronMercer17,,0.000423,1
16,@sdelagrave,,0.00044,0
17,@Jokibu,,0.000423,1
18,@RamonVillasante,,0.000423,1
19,@Rose_Hexis,,0.000423,1
20,@ISABELLA_VIVES,,0.000423,1
21,@AugustusMaximux,,0.000423,1
22,@elonjpnews,,0.000423,1
23,@Victronix,,0.000423,1
24,@petardi86262320,,0.000423,1
25,@dbehee,,0.000423,1
26,@SpaceXToot,,0.000423,1
27,@johnalleyjr,,0.000423,1
28,@mateloney,,0.000423,1
29,@sedatceylann,,0.000423,1
30,@v_g_fischer,,0.000423,1
31,@Owen25585226,,0.000423,1
32,@Cote411,,0.000423,1
33,@chrisamirr,,0.000423,1
34,@DlisHome,,0.000081,2
35,@AlbertHarker,,0.000423,1
36,@RajuRamlall,,0.000423,1
37,@MariaAzul7,,0.000423,1
38,@AnozieUdemezue,,0.000423,1
39,@KristiTalmadge,,0.000423,1
40,@_elonmusk_____,,0.000423,1
41,@Jackson83711863,,0.000423,1
42,@Kitty8319,,0.000423,1
43,@bilalasad20,,0.000423,1
44,@NikolaRusTesla,,0.000423,1
45,@GuermasGTemp,,0.000423,1
46,@LD_invest,,0.000081,3
47,@daniel63103646,,0.000423,1
48,@000Aquarius,,0.000423,1
49,@EuricoRoberto,,0.000081,4
50,@PoliticalBot8,,0.000423,1
51,@59OPAL,,0.000423,1
52,@NCBirbhan,,0.000423,1
53,@ArgoNaut_Scorp,,0.000423,1
54,@geekwire,,0.000081,5
55,@AdobeCareers,,0.000081,6
56,@coursera,,0.000081,7
57,@colin_faivre,,0.000081,8
58,@VThrCTNx,,0.0004,36
59,@mikestrattonNET,,0.000081,9
